price;rooms;size;bathrooms;living_areas;bedrooms;type_of_property;city;region
750000.0;5;240;2;null;null;house;null;La Soukra
620000.0;null;634;3;2;6;house;null;Soliman
190000.0;null;150;1;4;3;house;null;Bizerte
125000.0;3;80;1;null;null;house;tunis;La Medina
185000.0;3;100;1;null;2;house;Hammamet;Hammamet
600000.0;null;310;3;9;6;house;Hammamet;Hammamet
310000.0;null;160;2;5;4;house;Hammamet;Hammamet
480000.0;7;103;2;null;null;house;Tunis;La Medina
750000.0;5;656;1;null;5;house;Bizerte Nord;Bizerte Centre Ville
320000.0;4;350;1;null;null;house;El Hrairia;Cite Essalama
150000.0;null;165;2;3;3;house;null;Ksar Hellal
250000.0;3;407;2;7;null;house;Mornag;Khelidia
360000.0;null;566;1;4;3;house;null;Soliman
null;4;400;4;null;3;apartment;La Soukra;La Soukra
300000.0;2;300;2;null;4;house;Raoued;Raoued
null;9;3000;2;5;null;house;La Soukra;La Soukra
70000.0;1;80;1;3;null;house;null;Kelibia
90000.0;6;150;1;null;2;house;null;Kelibia
1200000.0;3;465;1;null;null;house;Sousse Jaouhara;Khezama
150000.0;1;60;1;null;null;house;null;Kelibia
175000.0;3;170;1;null;2;house;Hammamet;Hammamet Nord
1290000.0;null;267;null;6;4;house;Tunis;La Medina
null;4;120;2;6;null;apartment;El Ouardia;El Ouardia
200000.0;2;96;1;null;null;house;null;Dar Chaabane
720000.0;5;285;2;null;null;house;Hammamet;Yasmine Hammamet
290000.0;5;158;1;7;null;house;null;Dar Chaabane
250000.0;4;272;2;null;4;house;Fouchana;Cite El Hidhab
null;4;175;2;null;null;house;Fouchana;Cite El Misk
1100000.0;6;400;3;null;null;apartment;La Soukra;La Soukra
390000.0;5;786;2;null;3;house;Sfax Ville;Habbana 2
1050000.0;5;10000;3;null;null;house;Sidi Thabet;Sidi Thabet
155000.0;null;119;1;3;2;house;Hammam Sousse;Hammam Sousse
420000.0;2;320;null;3;null;house;Le Bardo;Le Bardo
120000.0;3;177;1;6;null;house;null;Ksar Hellal
600000.0;3;260;1;null;null;house;Hammamet;Hammamet
390000.0;null;400;4;11;9;house;Raoued;Raoued
400000.0;2;154;1;3;null;house;Hammamet;Hammamet
470000.0;10;172;2;null;3;house;null;Avenue Khezama
null;3;201;2;null;null;house;Mohamadia;Cite Ennouzha
140000.0;5;116;1;null;null;house;Hammam Chatt;Bir El Bey
250000.0;5;490;2;null;null;house;null;Kelibia
370000.0;3;254;2;5;null;house;Hammamet;Hammamet
500000.0;null;210;3;6;4;house;La Manouba;Denden
280000.0;4;225;1;null;null;house;La Marsa;Bhar Lazreg
790000.0;5;363;2;7;null;house;Ariana Ville;El Menzah 8
620000.0;6;280;3;null;null;apartment;La Marsa;Ain Zaghouan Nord
null;null;500;4;10;7;house;Ariana Ville;Riadh al Andalous
500000.0;null;500;2;4;3;house;El Mourouj;El Mourouj 3
470000.0;6;280;1;null;null;house;null;Hergla
230000.0;4;132;1;null;null;house;Hammamet;Hammamet
1190000.0;null;482;5;9;8;house;El Menzah;El Menzah 9
1270000.0;6;570;null;8;null;house;Le Bardo;Le Bardo
620000.0;4;280;3;null;null;house;La Marsa;Ain Zaghouan Nord
620000.0;4;180;2;null;null;house;La Marsa;La Marsa
360000.0;5;1150;3;null;5;house;Midoun;Midoune
185000.0;null;175;2;5;3;house;Hammamet;Hammamet Nord
8000000.0;4;2301;null;null;null;house;La Soukra;La Soukra
350000.0;2;400;1;null;2;house;null;Kelibia
2300000.0;7;1400;null;null;null;house;La Soukra;La Soukra
350000.0;3;120;1;null;null;house;La Marsa;Ain Zaghouan Nord
850000.0;2;252;1;null;null;house;La Marsa;Gammarth
140000.0;3;135;1;null;null;house;Hammamet;Hammamet
1200000.0;3;500;null;null;null;house;La Soukra;Chotrana 3
1800000.0;5;195;null;null;null;house;La Marsa;Gammarth
1600000.0;2;180;null;null;null;house;La Marsa;La Marsa
980000.0;8;500;null;null;null;house;La Soukra;La Soukra
960000.0;3;400;3;4;null;house;La Marsa;Gammarth
3900000.0;null;null;null;null;null;house;null;La Marsa
197000.0;3;154;2;null;null;house;La Marsa;Bhar Lazreg
600000.0;null;185;4;5;4;apartment;La Marsa;Sidi Daoued
270000.0;7;193;2;7;null;house;Tunis;Maakel Ezzaim
240000.0;null;170;2;5;5;house;null;Kelibia
520000.0;7;220;2;null;6;house;Le Bardo;Le Bardo
1100000.0;null;160;2;5;3;apartment;Le Kram;Les Jardins de Carthage
null;12;660;6;null;null;house;Monastir Ville;Monastir Ville
355000.0;null;200;null;4;3;house;Ariana Ville;Ariana
null;2;242;1;3;null;house;Carthage;El Yasmina
7500.0;6;420;4;null;null;house;La Marsa;Cite Les Pins
12000000.0;12;68000;null;null;null;house;La Soukra;La Soukra
950000.0;20;307;9;20;null;house;Tunis;Bab Bhar
1550000.0;6;664;3;null;5;house;El Menzah;El Menzah 1
395000.0;3;100;2;null;2;house;Hammamet;Hammamet
175000.0;null;120;null;5;3;house;La Soukra;La Soukra
null;2;100;1;null;null;house;Mnihla;Mnihla
null;3;650;2;null;4;house;La Soukra;La Soukra
230000.0;null;124;2;3;2;house;La Soukra;La Soukra
749000.0;6;800;4;null;5;house;Hammamet;Hammamet
430000.0;3;160;3;null;null;house;Djerba;Djerba
255000.0;2;210;1;3;null;house;null;Hammam Ghezeze
785000.0;4;212;4;null;null;house;El Menzah;El Menzah 9
240000.0;2;160;1;null;null;house;null;Kelibia
1450000.0;5;400;2;null;null;house;El Menzah;Mutuelle Ville
450000.0;5;160;5;5;null;house;null;Hammam El Ghezaz
null;4;288;1;null;null;house;Hammamet;Hammamet Sud
700000.0;5;234;3;null;null;apartment;La Soukra;La Soukra
350000.0;11;150;2;null;null;house;La Marsa;Aouina
680000.0;5;514;1;null;null;house;La Soukra;Borj Louzir
null;null;1;2;4;3;house;Le Kram;Les Jardins de Carthage
800000.0;6;304;4;null;null;apartment;La Soukra;Chotrana 3
485000.0;null;402;1;5;4;house;null;Raoued
235000.0;null;175;1;5;4;house;Tabarka;Tabarka Ville
null;3;130;1;null;2;house;Carthage;Amilcar
480000.0;8;500;null;null;null;house;La Manouba;La Manouba
