bathrooms,bedrooms,city,city_region,description,living_areas,price,region,rooms,size,type_of_property,url
1,2,,Dar Châabane,"Find out about this house for sale. Price 230,000 TND. 2 bedrooms, 1 bathroom, 101 m². 3 rooms. Less than 1 year. Covering: Marble. Exceptional mountain view, Thermal insulation with soundproofing, Secured door, General air conditioning System.This house is for sale . Fully equipped kitchen. Integrated air conditioning.Contact us if you are interested in this house. General satellite dish.Close to all amenities: shops in 900 meters, pharmacy in 1.1 kilometer, educational establishments in 1.5 kilometer, bookshop and restaurants in 1.7 kilometer, supermarket in 1.8 kilometer, large area in 2.1 kilometers.","(None,)",230000.0,Dar Châabane,3,101,house,https://www.mubawab.tn/en/a/7737622/home-to-buy-total-area-101-m%C2%B2-satellite-dish-and-reinforced-door-
1,3,Hammamet,Hammamet Nord inHammamet,"Find out about this house for sale. Price 1,200,000 TND. 4 living areas, 1 bathroom, 350 m². 3 bedrooms. New. Green area, Carpark, Balcony.This house is for sale in Hammamet Nord. Large swimming pool, General air conditioning. Air conditioned.Be the first to visit this house for sale. Enclosed residence.Nearby: schools and shops in 100 meters, hospitals in 150 meters, bookshop and pharmacy in 200 meters, supermarket and shopping centre in 300 meters, station and public transport in 500 meters, restaurants in 750 meters, beach in 800 meters, taxi service in 900 meters.",4,1200000.0,Hammamet Nord,"(None,)",350,apartment,https://www.mubawab.tn/en/a/7737734/house-to-buy-in-hammamet-nord-4-rooms-terrace-and-garden-
6,"(None,)",Hammamet,Hammamet Nord inHammamet,"Find out about this house for sale. 6 living areas, 6 bathrooms, area 1020 m². 5 rooms. New.This beautiful house is for sale in Hammamet Nord. Perfectly equipped with central heating and double glazing. Superb view of the mountains. The exterior consists of a garden and a terrace. A garage is also at your disposal.Contact us if you are interested in this house. Enjoy a magnificent sea view. Reinforced door for maximum security. Many amenities including air conditioning and swimming pool. Cooker with oven.",6,,Hammamet Nord,5,1020,house,https://www.mubawab.tn/en/a/7595265/very-nice-house-for-sale-in-hammamet-nord-6-comfortable-rooms-view-of-the-mountains-central-heating-
1,2,,Kélibia,"Come and visit this beautiful house for sale. Price 170,000 TND. 3 living areas, 1 bathroom, area 122 m². 2 bedrooms. Less than 1 year. Fantastic terrace.This house is for sale .Close to all amenities: schools in 100 meters, retailers and pharmacy in 150 meters, bookshop and bars and restaurants in 200 meters, supermarket in 250 meters, station and public transport in 350 meters, hospitals in 500 meters, beach in 2.7 kilometers.",3,170000.0,Kélibia,"(None,)",122,house,https://www.mubawab.tn/en/a/7737633/house-for-sale-3-rooms-beautiful-terrace-
3,"(None,)",Le Kram,Les Jardins de Carthage inLe Kram,"Find out about this house for sale. Price 1,100,000 TND. 3 rooms, 3 bathrooms, 179 m². 4 rooms. Less than 1 year. Boiler.Come and check out this house for sale in Les Jardins de Carthage, Le Kram. Large swimming pool.Close to all amenities: transport and beach in 250 meters, shops in 600 meters, educational establishments in 1.4 kilometer, bars and restaurants and bookshop in less than 50 meters.","(None,)",1100000.0,Les Jardins de Carthage,"(4,)",179,house,https://www.mubawab.tn/en/a/7585615/house-to-buy-in-les-jardins-de-carthage-3-lovely-rooms-reinforced-door-and-double-glazing-
1,"(None,)",Hammamet,Hammamet inHammamet,"Unique opportunity on this house for sale. Price 800,000 TND. 4 living areas with 3 rooms, 1 bathroom, 141 m². Good condition. Exceptional sea view.This house is for sale in Hammamet, Hammamet.Nearby: large area in 700 meters, educational establishments in 850 meters, shops in 100 meters, hospitals in 150 meters, beach in 450 meters.",4,,Hammamet,3,141,house,https://www.mubawab.tn/en/a/7255957/beautiful-house-for-sale-in-hammamet-3-lovely-rooms-stunning-sea-view-
"(None,)","(None,)",La Marsa,La Marsa inLa Marsa,"Very nice property for sale. Price 3,200,000 TND. 3 rooms, area of ​​1400 m². Security assured.This house is for sale in La Marsa, La Marsa. Fully equipped kitchen. Residence with swimming pool.Close to all amenities: retailers in 950 meters, educational establishments in 1.5 kilometer, supermarket in 1.8 kilometer, pharmacy in 2.1 kilometers, department store in 2.2 kilometers, bookshop in 2.5 kilometers.","(None,)",3200000.0,La Marsa,3,1400,house,https://www.mubawab.tn/en/a/7600512/beautiful-house-for-sale-in-la-marsa-3-rooms-closed-residence-
1,2,Djerba,Djerba inDjerba,"Seize the opportunity with this house for sale. Price 203,530 TND. 3 living areas, 1 bathroom, 92 m². 2 bedrooms. Less than 5 years. Covering: Tiled. Green areas, Balcony.This beautiful house is for sale in Djerba. Robust door. Fitted kitchen.Contact us if you are interested in this house.",3,203530.0,Djerba,"(None,)",92,house,https://www.mubawab.tn/en/a/7609560/house-to-buy-in-djerba-2-beautiful-rooms-green-areas-balcony-
3,"(None,)",Djerba,Djerba inDjerba,"Superb benefits with this villa for sale. Price 949,000 TND. 3 rooms, 3 bathrooms, area 280 m². Less than 1 year. Covering: Wooden. Beautiful sea view, Double glazing, Secured door, Central air conditioning.This beautiful villa is for sale in Djerba. In addition to a terrace, also has a garden and carpark. Comfortable and well equipped with swimming pool and air conditioning.Be the first to visit this villa for sale. Fitted kitchen. On-site security.Nearby: large area in 950 meters, schools in 1.0 kilometer, restaurants in 1.1 kilometer, shops in 1.5 kilometer, beach in 1.8 kilometer.","(None,)",,Djerba,3,280,,https://www.mubawab.tn/en/a/7078766/fabulous-villa-for-sale-in-djerba-3-room-beautiful-terrace-and-garden-
3,4,El Menzah,El Menzah 9 inEl Menzah,"Get a great deal with this house for sale. Price 890,000 TND. 5 living areas, 3 bathrooms, area 350 m². 4 bedrooms. Less than 10 years. Floor type: Marble. You will have a terrace and a garden.This beautiful house is for sale in El Menzah 9. General satellite dish, Secured neighbourhood. Air conditioning.Contact us if you are interested in this house. Well equipped kitchen. Cooker with oven. Air conditioned.Nearby: retailers in less than 50 meters, bookshop in 100 meters, school and secondary school, pharmacy and shopping centre in 150 meters, cafes and restaurants in 200 meters, hospitals in 500 meters, supermarket in 550 meters, taxi service in 800 meters, station and public transport in 1.6 kilometer.",5,890000.0,El Menzah 9,"(None,)",350,house,https://www.mubawab.tn/en/a/7720885/home-to-buy-in-el-menzah-9-small-area-350-m%C2%B2-beautiful-terrace-and-garden-
