bathrooms,bedrooms,city,city_region,description,living_areas,price,region,rooms,size,type_of_property,url
"(None,)","(None,)",,La Marsa,"Amazing deal on this house for sale. Price 3,400,000 TND. 7 rooms, 625 m². With lift, Car parking spaces, Balcony.Come and check out this house for sale . Swimming pool. Secured neighbourhood.Contact us to visit this house for sale. Fully equipped kitchen.","(None,)",3400000.0,La Marsa,7,625,house,https://www.mubawab.tn/en/a/7711290/home-to-buy-7-rooms-carpark-and-elevator-
2,2,Djerba,Djerba inDjerba,"Come and visit this beautiful house for sale. Price 276,400 TND. 2 bedrooms, 2 bathrooms, 475 m². 5 rooms. New. Green area, Car parking spaces, Large terrace.This beautiful house is for sale in Djerba. Residence with swimming pool.Schedule your visit to this exceptional house now.Nearby: bars and restaurants and beach in 100 meters, educational establishments in 500 meters, shops in 1.1 kilometer, supermarket in 1.6 kilometer, bookshop in 1.7 kilometer.","(None,)",276400.0,Djerba,5,475,house,https://www.mubawab.tn/en/a/7688658/house-to-buy-in-djerba-5-rooms-green-areas-parking-spaces-for-cars-
2,"(None,)",Djerba,Djerba inDjerba,"Find out about this house for sale. Price 275,000 TND. 3 rooms, 2 bathrooms, area 120 m². 5 rooms. New. Green areas, Balcony.This house is for sale in Djerba, Djerba.Close to all amenities: cafes and restaurants and beach in 100 meters, schools in 500 meters, shops in 1.1 kilometer, supermarket in 1.6 kilometer, bookshop in 1.7 kilometer.","(None,)",275000.0,Djerba,"(5,)",120,house,https://www.mubawab.tn/en/a/7674661/house-to-buy-in-djerba-area-120-m%C2%B2-beautiful-terrace-and-garden-
2,"(None,)",El Menzah,El Manar 1 inEl Menzah,"Seize the opportunity with this house for sale. Price 580,000 TND. 4 rooms, 2 bathrooms, 310 m². 5 rooms. Less than 10 years. Floor type: Marble. Air-conditioned.This house is for sale in El Manar 1, El Menzah. Central air conditioning. Equipped kitchen.","(None,)",580000.0,El Manar 1,"(5,)",310,house,https://www.mubawab.tn/en/a/7662807/house-for-sale-in-el-manar-1-4-rooms-air-conditioning-system-
2,3,Djerba,Djerba inDjerba,"Unique opportunity on this house for sale. Price 338,800 TND. 3 bedrooms, 2 bathrooms, 615 m². 5 rooms. New. Gardeners, Large terrace.Come and check out this house for sale in Djerba, Djerba.Close to all amenities: beach in 100 meters, schools in 500 meters, retailers in 1.1 kilometer, supermarket in 1.6 kilometer, bookshop in 1.7 kilometer.","(None,)",338800.0,Djerba,5,615,house,https://www.mubawab.tn/en/a/7705883/house-for-sale-in-djerba-3-rooms-garden-and-terrace-
3,"(None,)",Le Bardo,Le Bardo inLe Bardo,"Very nice property for sale. Price 670,000 TND. 10 rooms, 3 bathrooms, 519 m². 12 rooms. Less than 20 years. Floor type: Wooden. Green areas, Balcony.Come and check out this house for sale in Le Bardo, Le Bardo.Close to all amenities: shops in less than 50 meters, pharmacy in 100 meters, educational establishments in 150 meters, supermarket and restaurants in 250 meters, bookshop in 300 meters, commercial area in 550 meters, hospitals in 1.7 kilometer, beach in 2.2 kilometers, station, public transport and taxi in 2.6 kilometers.","(None,)",670000.0,Le Bardo,"(12,)",519,house,https://www.mubawab.tn/en/a/7713839/house-to-buy-in-le-bardo-10-rooms-green-areas-balcony-
4,4,La Soukra,Chotrana 1 inLa Soukra,"Amazing deal on this house for sale. Price 878,500 TND. 4 bedrooms, 4 bathrooms, 209 m². 5 rooms. New. Residence perfectly equipped and a carpark. You will also have a garden and a beautiful terrace.This beautiful house is for sale in Chotrana 1. Thermal insulation and soundproofing, Secured door, Central air conditioning. Comfort and security with caretaker service, swimming pool and air conditioning.Be the first to visit this house for sale. Stove. Closed residence. Fitted kitchen.Nearby: educational establishments and shops in less than 50 meters, bookshop and cafes and restaurants in 50 meters, pharmacy in 1.0 kilometer, supermarket in 2.2 kilometers, department store in 2.4 kilometers, taxi service in 2.9 kilometers.","(None,)",878500.0,Chotrana 1,5,209,apartment,https://www.mubawab.tn/en/a/7694322/beautiful-house-for-sale-in-chotrana-1-dimension-209-m%C2%B2-carpark-balcony-
3,"(None,)",La Soukra,Chotrana 1 inLa Soukra,"Very nice property for sale. Price 750,000 TND. 4 living areas, 3 bathrooms, area 221 m². 3 rooms. New. Perfectly equipped with reinforced door, central heating and double glazing.Come and check out this house for sale in Chotrana 1. In addition to a terrace, also has a garden and carpark. Caretaker service available, Large swimming pool, General air conditioning.Contact us if you are interested in this house. Boiler. Fully equipped kitchen. Enclosed residence.Nearby: school and secondary school and shops in less than 50 meters, bookshop and restaurants in 50 meters, pharmacy in 1.0 kilometer, supermarket in 2.2 kilometers, department store in 2.4 kilometers, taxi in 2.9 kilometers.",4,750000.0,Chotrana 1,3,221,apartment,https://www.mubawab.tn/en/a/7694457/house-for-sale-in-chotrana-1-4-large-living-areas-reinforced-door-and-central-heating-
3,"(None,)",Le Bardo,Khaznadar inLe Bardo,"Very nice property for sale. Price 670,000 TND. 5 rooms, 3 bathrooms, 664 m². 6 rooms. Less than 30 years. Covering: Marble. Secured door, Air conditioning installation.This house is for sale in Khaznadar. Garden and terrace suitable for relaxation. Well equipped kitchen.Contact us if you are interested in this house. General satellite dish. Air conditioning.Nearby: shops in less than 50 meters, pharmacy in 100 meters, educational establishments in 150 meters, supermarket in 250 meters, bookshop and restaurants in 300 meters, shopping centre in 550 meters, hospitals in 1.7 kilometer, station, public transport and taxi in 2.6 kilometers.","(None,)",670000.0,Khaznadar,"(6,)",664,house,https://www.mubawab.tn/en/a/7722906/house-for-sale-in-khaznadar-6-comfortable-rooms-robust-door-general-satellite-dish-system-
2,7,Carthage,Carthage Byrsa inCarthage,"Unique opportunity on this house for sale. Price 1,480,000 TND. 7 bedrooms, 2 bathrooms, 422 m². 9 rooms. Due for reform. Green area, Car parking spaces, Large terrace.This house is for sale in Carthage Byrsa, Carthage.Close to all amenities: educational establishments in less than 50 meters, shops in 100 meters, station and public transport in 350 meters, bookshop in 650 meters, supermarket and beach in 750 meters, pharmacy and department store in 800 meters, bars and restaurants in 1.8 kilometer, hospitals in 2.5 kilometers.","(None,)",1480000.0,Carthage Byrsa,9,422,house,https://www.mubawab.tn/en/a/7734346/beautiful-house-for-sale-in-carthage-byrsa-7-rooms-carpark-balcony-
4,"(None,)",Le Kram,Les Jardins de Carthage inLe Kram,"Very nice property for sale. Price 1,250,000 TND. 6 living areas, 4 bathrooms, area 361 m². 5 rooms. Less than 10 years. Green areas No Lift, Balcony.This house is for sale in Les Jardins de Carthage. Comfort and security with central heating, reinforced door and double glazing. caretaker service available, General air conditioning.Schedule your visit to this exceptional house now. Closed residence. Equipped kitchen.Close to all amenities: schools, retailers, bookshop and pharmacy in less than 50 meters, commercial area in 150 meters, restaurants, station and transport in 250 meters, beach in 300 meters, hospitals in 450 meters, supermarket in 500 meters, taxi service in 1.8 kilometer.",6,1250000.0,Les Jardins de Carthage,5,361,apartment,https://www.mubawab.tn/en/a/7706294/beautiful-house-for-sale-in-les-jardins-de-carthage-5-beautiful-rooms-green-areas-balcony-
1,"(None,)",,Hammam Ghezèze,"Get a great deal with this house for sale. Price 150,000 TND. 2 rooms, 1 bathroom, area 110 m². 3 rooms. New.This beautiful house is for sale .Nearby: shops in 450 meters, school and secondary school in 2.0 kilometer.","(None,)",150000.0,Hammam Ghezèze,"(3,)",110,house,https://www.mubawab.tn/en/a/7734651/house-for-sale-3-large-rooms-
"(None,)","(None,)",Mornaguia,Mornaguia 20 Mars inMornaguia,,"(None,)",125000.0,Mornaguia 20 Mars,"(None,)","(None,)",,https://www.mubawab.tn/en/a/7734767/house-for-sale-in-mornaguia-20-mars-large-area-108-m%C2%B2-
1,3,Le Bardo,Le Bardo inLe Bardo,"Unique opportunity on this house for sale. Price 290,000 TND. 3 bedrooms, 1 bathroom, 130 m². Less than 30 years. Floor type: Tiled. Secured Door, General satellite dish, Secured neighbourhood.This house is for sale in Le Bardo. Central air conditioning. Built-in oven.Schedule your visit to this exceptional house now. Terrace. Integrated air conditioners. Fitted kitchen.Close to all amenities: retailers in less than 50 meters, supermarket and restaurants in 50 meters, bookshop and pharmacy in 100 meters, schools in 150 meters, large area in 500 meters, station and transport in 650 meters, taxi in 850 meters, hospitals in 2.5 kilometers.","(None,)",290000.0,Le Bardo,"(None,)",130,house,https://www.mubawab.tn/en/a/7734635/house-for-sale-in-le-bardo-3-beautiful-rooms-robust-door-general-satellite-dish-system-
1,2,Sousse Ville,Sousse Medina inSousse Ville,"Get a great deal with this house for sale. Price 120,000 TND. 2 living areas, 1 bathroom, area 83 m². 2 bedrooms. Good condition. Fully furnished.This beautiful house is for sale in Sousse Medina, Sousse Ville. Equipped kitchen. Fantastic terrace.",2,120000.0,Sousse Medina,"(None,)",83,house,https://www.mubawab.tn/en/a/7623743/beautiful-house-for-sale-in-sousse-medina-dimension-83-m%C2%B2-thermal-insulation-and-soundproofing-
2,3,El Mourouj,El Mourouj 6 inEl Mourouj,"Don't miss out on this house for sale. Price 420,000 TND. 3 bedrooms, 2 bathrooms, 226 m². 4 rooms. Less than 10 years. Floor type: Tiled. Thermal insulation and soundproofing, Secured door.Come and check out this house for sale in El Mourouj 6. Garden and terrace suitable for relaxation. Fitted kitchen.Contact us if you are interested in this house. General satellite dish system. Comfortable European living room.Close to all amenities: retailers, bookshop, pharmacy and public transport in 1.3 kilometer, school and secondary school in 1.3 kilometer, supermarket in 2.3 kilometers, restaurants in 2.9 kilometers.","(None,)",420000.0,El Mourouj 6,4,226,house,https://www.mubawab.tn/en/a/7734394/house-to-buy-in-el-mourouj-6-4-large-living-areas-double-glazing-robust-door-
1,3,La Marsa,Cité Du Stade inLa Marsa,"Get a great deal with this house for sale. 3 bedrooms, 1 bathroom, 600 m². Due for reform.This house is for sale in Cité Du Stade, La Marsa. Green area.Nearby: educational establishments and shops in less than 50 meters, pharmacy, station and public transport in 100 meters, bookshop, cafes and restaurants and hospitals in 150 meters, supermarket in 500 meters, department store in 550 meters, beach in 800 meters.","(None,)",,Cité Du Stade,"(None,)",600,house,https://www.mubawab.tn/en/a/7670223/house-for-sale-in-cit%C3%A9-du-stade-3-rooms-green-area-
1,"(None,)",,Kélibia,"Seize the opportunity with this house for sale. Price 180,000 TND. 1 bathroom, 300 m². 1 Living areas. 1 room. Less than 5 years. Covering: Marble. Fully furnished property.Come and check out this house for sale . Gardeners, Large terrace. Maximum security with reinforced door. Equipped with a satellite dish.Be the first to visit this house for sale. Living room with fireplace, General air conditioning System. Oven. Comfortable European living room.Nearby: school and secondary school in 100 meters, retailers and pharmacy in 150 meters, bookshop and cafes and restaurants in 200 meters, supermarket in 250 meters, station and transport in 350 meters, hospitals in 500 meters, beach in 2.7 kilometers.",1,180000.0,Kélibia,1,300,house,https://www.mubawab.tn/en/a/7700926/very-nice-house-for-sale-surface-area-300-m%C2%B2-well-furnished-
2,"(None,)",Le Bardo,Ksar Said inLe Bardo,"Come and visit this beautiful house for sale. Price 680,000 TND. 6 rooms, 2 bathrooms, 202 m². 8 rooms. New. Residence perfectly equipped and a carpark. You will also have a garden and a beautiful terrace.Come and check out this house for sale in Ksar Said. Fully equipped kitchen.Be the first to visit this house for sale.Close to all amenities: shops in less than 50 meters, pharmacy in 100 meters, schools in 150 meters, supermarket in 250 meters, bookshop and bars and restaurants in 300 meters, commercial area in 550 meters, hospitals in 1.7 kilometer, station, transport and taxi in 2.6 kilometers.","(None,)",680000.0,Ksar Said,"(8,)",202,house,https://www.mubawab.tn/en/a/7734904/very-nice-house-for-sale-in-ksar-said-large-area-202-m%C2%B2-parking-spaces-and-terrace-
1,"(None,)",La Soukra,Dar Fadhal inLa Soukra,"Don't miss out on this house for sale. Price 190,000 TND. 4 living areas, 1 bathroom, area 137 m². 3 rooms. Less than 1 year. Secured door.Come and check out this house for sale in Dar Fadhal, La Soukra. Fully equipped kitchen.Close to all amenities: schools and retailers in less than 50 meters, bookshop and cafes and restaurants in 50 meters, pharmacy in 1.0 kilometer, supermarket in 2.2 kilometers, shopping centre in 2.4 kilometers, taxi in 2.9 kilometers.",4,190000.0,Dar Fadhal,3,137,house,https://www.mubawab.tn/en/a/7734925/house-for-sale-in-dar-fadhal-large-area-137-m%C2%B2-reinforced-door-
1,"(None,)",Bizerte Nord,Bizerte inBizerte Nord,"Unique opportunity on this house for sale. 3 living areas, 1 bathroom, area 65 m². 2 rooms. Good condition. Covering: Marble.Come and check out this house for sale in Bizerte, Bizerte Nord. Private car park.",3,,Bizerte,2,65,house,https://www.mubawab.tn/en/a/7650304/home-to-buy-in-bizerte-3-rooms-private-garage-
"(None,)","(None,)",,Korba,"Find out about this house for sale. Price 1,050,000 TND. 5 living areas, 4 private bathrooms, 500 m². 4 rooms. Less than 30 years. Covering: Marble. Fully furnished property.This beautiful house is for sale . Equipped with a satellite dish and a reinforced door. The residence is secured. Perfectly equipped with central heating. Stunning sea view.Schedule your visit to this exceptional house now. You will have a terrace and a garden. Heating oven. Well equipped kitchen.Nearby: shops in 50 meters, schools, pharmacy, station, public transport and taxi service in 150 meters, department store in 300 meters, bars and restaurants in 700 meters, hospitals in 850 meters, beach in 900 meters, bookshop in 1.2 kilometer, supermarket in 1.3 kilometer.",5,1050000.0,Korba,4,500,apartment,https://www.mubawab.tn/en/a/7734959/house-for-sale-total-area-500-m%C2%B2-attic-
"(None,)","(None,)",Hammamet,Hammamet inHammamet,"Very good option in this land for sale. Price 45,000 TND. Small area 500 m².This land is offered for sale in Hammamet Sud, Hammamet.Nearby: department store in 700 meters, schools in 850 meters, shops in 100 meters, hospitals in 150 meters, beach in 450 meters.","(None,)",,Hammamet,"(None,)",500,land,https://www.mubawab.tn/en/a/7334939/land-to-buy-in-hammamet-sud-large-area-500-m%C2%B2-
"(None,)",3,Tunis,El Halfaouine inTunis,"Unique opportunity on this house for sale. Price 280,000 TND. 4 living areas, 2 private bathrooms, 170 m². 3 bedrooms. Less than 100 years. Floor type: Marble. Balcony.This house is for sale in El Halfaouine, Tunis. Robust door.Nearby: school and secondary school, shops and bookshop in less than 50 meters, pharmacy in 100 meters, supermarket and hospitals in 150 meters, cafes and restaurants in 450 meters, station and public transport in 700 meters, shopping centre in 1.3 kilometer, taxi service in 3.0 kilometers.",4,280000.0,El Halfaouine,"(None,)",170,house,https://www.mubawab.tn/en/a/7735199/home-to-buy-in-el-halfaouine-surface-area-170-m%C2%B2-robust-door-
2,4,El Omrane Superieur,El Omrane Supérieur inEl Omrane Superieur,"Seize the opportunity with this house for sale. 4 bedrooms, 2 bathrooms, 90 m². Less than 30 years. Covering: Tiled.This house is for sale in El Omrane Supérieur, El Omrane Superieur.Close to all amenities: shops and bars and restaurants in 50 meters, supermarket and bookshop in 100 meters, pharmacy in 200 meters, educational establishments in 250 meters, commercial area in 950 meters, station and public transport in 1.6 kilometer, hospitals in 2.5 kilometers.","(None,)",,El Omrane Supérieur,"(None,)",90,house,https://www.mubawab.tn/en/a/7735309/house-for-sale-in-el-omrane-sup%C3%A9rieur-area-of-90-m%C2%B2-
4,"(None,)",La Marsa,Gammarth inLa Marsa,"Amazing deal on this house for sale. Price 850,000 TND. 6 rooms, 4 bathrooms, area 320 m². 7 rooms. Less than 20 years. Floor type: Marble. Enjoy the comfort of the air conditioning. The residence also has a swimming pool.Come and check out this house for sale in Gammarth. Gardeners, Large terrace. Equipped with a satellite dish.Schedule your visit to this exceptional house now. Modern decor with European living room. Central heating.Close to all amenities: retailers in 350 meters, school and secondary school in 400 meters, bookshop in 450 meters, supermarket in 550 meters, cafes and restaurants in 750 meters, pharmacy in 800 meters, large area in 2.2 kilometers, beach in 2.9 kilometers.","(None,)",850000.0,Gammarth,"(7,)",320,apartment,https://www.mubawab.tn/en/a/7733307/house-for-sale-in-gammarth-7-rooms-garden-and-terrace-
4,"(None,)",,Kalâa Kebira,"Amazing deal on this house for sale. Price 650,000 TND. 6 living areas, 4 bathrooms, area 800 m². 6 rooms. Due for reform. You will have a terrace and a garden.Come and check out this house for sale . Residence with swimming pool.Close to all amenities: school and secondary school and shops in less than 50 meters, bookshop in 50 meters, pharmacy in 200 meters, supermarket and bars and restaurants in 350 meters, hospitals in 2.2 kilometers.",6,650000.0,Kalâa Kebira,6,800,house,https://www.mubawab.tn/en/a/7645685/home-to-buy-6-large-rooms-beautiful-terrace-and-garden-
2,"(None,)",El Omrane Superieur,Cité Ubn Khaldoun inEl Omrane Superieur,"Come and visit this beautiful house for sale. Price 230,000 TND. 4 living areas, 2 bathrooms, area 92 m². 3 rooms. Good condition. Large terrace.Come and check out this house for sale in Cité Ubn Khaldoun, El Omrane Superieur.Nearby: school and secondary school, shops and bookshop in less than 50 meters, pharmacy in 100 meters, supermarket and hospitals in 150 meters, restaurants in 450 meters, station and public transport in 700 meters, department store in 1.3 kilometer, taxi in 3.0 kilometers.",4,230000.0,Cité Ubn Khaldoun,3,92,house,https://www.mubawab.tn/en/a/7733415/home-to-buy-in-cit%C3%A9-ubn-khaldoun-3-beautiful-rooms-large-terrace-
"(None,)","(None,)",e,Jayara inSidi Hassine,"Seize the opportunity with this house for sale. 5 living areas, 3 private bathrooms, 250 m². 10 rooms. Less than 20 years.This beautiful house is for sale in Jayara. Quiet sorroundings with mountain view, Double glazed window. Living room with European decor.Schedule your visit to this exceptional house now. Well equipped kitchen. General satellite dish system. Washing Machine.",5,,Jayara inSidi Hass,10,250,house,https://www.mubawab.tn/en/a/7734561/house-to-buy-in-jayara-area-250-m%C2%B2-exceptional-mountain-view-double-glazed-windows-
2,5,Akouda,Chott Meriem inAkouda,"Amazing deal on this house for sale. Price 3,500,000 TND. 5 living areas, 2 bathrooms, area 1140 m². 5 bedrooms. New. Fully furnished property.This house is for sale in Chott Meriem. Enjoy a beautiful garden and a terrace. Also has a garage. Perfectly equipped with central heating and double glazing. Stunning sea view.Contact us to visit this house for sale. Enjoy the comfort of the fireplace and the air conditioning. The residence also has a swimming pool. Fully equipped kitchen. Secured residence.",5,3500000.0,Chott Meriem,"(None,)",1140,apartment,https://www.mubawab.tn/en/a/7620847/house-for-sale-in-chott-meriem-5-rooms-furnishings-
1,"(None,)",Nabeul,Nabeul inNabeul,"Find out about this house for sale. Price 200,000 TND. 3 living areas, 1 bathroom, area 103 m². 2 rooms. Less than 10 years. Covering: Wooden. General satellite dish system.This house is for sale in Nabeul, Nabeul. Integrated air conditioners. Well equipped kitchen.Nearby: retailers in less than 50 meters, pharmacy in 100 meters, cafes and restaurants in 150 meters, schools in 300 meters, bookshop in 400 meters, beach in 900 meters, station and public transport in 1.2 kilometer, supermarket in 1.2 kilometer, hospitals in 1.5 kilometer, shopping centre in 1.7 kilometer.",3,200000.0,Nabeul,2,103,house,https://www.mubawab.tn/en/a/7729491/home-to-buy-in-nabeul-3-large-living-areas-fully-equipped-kitchen-
1,"(None,)",La Soukra,La Soukra inLa Soukra,"Come and visit this beautiful house for sale. Price 320,000 TND. 4 living areas, 1 bathroom, 209 m². 3 rooms. Good condition. Terrace.Come and check out this house for sale in La Soukra, La Soukra.Nearby: educational establishments and shops in less than 50 meters, bookshop and cafes and restaurants in 50 meters, pharmacy in 1.0 kilometer, supermarket in 2.2 kilometers, large area in 2.4 kilometers, taxi service in 2.9 kilometers.",4,320000.0,La Soukra,3,209,house,https://www.mubawab.tn/en/a/7707773/house-for-sale-in-la-soukra-4-large-living-areas-balcony-
3,"(None,)",Nabeul,Nabeul inNabeul,"Amazing deal on this house for sale. Price 120,000 TND. 2 rooms, 3 bathrooms, area 70 m². 3 rooms. Less than 1 year. Large balcony.This beautiful house is for sale in Nabeul, Nabeul. Central heating. Satellite dish.Close to all amenities: shops and bookshop in 50 meters, schools in 100 meters, pharmacy and restaurants in 150 meters, supermarket, station and public transport in 600 meters, hospitals in 900 meters, beach in 950 meters, large area in 1.2 kilometer.","(None,)",120000.0,Nabeul,"(3,)",70,house,https://www.mubawab.tn/en/a/7707212/house-for-sale-in-nabeul-2-rooms-satellite-dish-system-
2,"(None,)",El Menzah,Mutuelle Ville inEl Menzah,"Find out about this house for sale. Price 2,300,000 TND. 7 living areas, 2 bathrooms, area 850 m². 5 rooms. Due for reform. Green area, Carpark, Balcony.Come and check out this house for sale in Mutuelle Ville. Property with swimming pool.Be the first to visit this house for sale.Nearby: shops in less than 50 meters, bookshop in 100 meters, educational establishments, pharmacy and department store in 150 meters, bars and restaurants in 200 meters, supermarket in 300 meters, hospitals in 500 meters, taxi service in 800 meters, station and transport in 1.6 kilometer.",7,2300000.0,Mutuelle Ville,5,850,house,https://www.mubawab.tn/en/a/7686345/find-your-house-to-buy-in-mutuelle-ville-7-rooms-terrace-and-garden-
1,"(None,)",,Kélibia,"Amazing deal on this house for sale. Price 225,000 TND. 3 rooms, 1 bathroom, area 376 m². Good condition. Green areas, Balcony.This house is for sale .Nearby: schools in 100 meters, retailers in 150 meters, cafes and restaurants and bookshop in 200 meters, beach in 2.8 kilometers.","(None,)",225000.0,Kélibia,3,376,house,https://www.mubawab.tn/en/a/7296941/find-your-house-to-buy-3-lovely-rooms-beautiful-terrace-and-garden-
1,"(None,)",Sousse Ville,Sousse Ville inSousse Ville,"Find out about this house for sale. Price 350,000 TND. 3 rooms, 1 bathroom, area 450 m². 4 rooms. Good condition. In addition to a terrace, a carpark is at your disposal.Come and check out this house for sale in Sousse Ville. Central heating. Integrated air conditioners.Be the first to visit this house for sale.","(None,)",350000.0,Sousse Ville,"(4,)",450,house,https://www.mubawab.tn/en/a/7660337/home-to-buy-in-sousse-ville-
2,"(None,)",El Mourouj,El Mourouj 3 inEl Mourouj,"Come and visit this beautiful house for sale. Price 415,000 TND. 3 rooms, 2 bathrooms, area 250 m². 3 rooms. New. Private garden.Come and check out this house for sale in El Mourouj 3, El Mourouj. Central air conditioning. Well equipped kitchen.","(None,)",415000.0,El Mourouj 3,"(3,)",250,house,https://www.mubawab.tn/en/a/7733394/beautiful-house-for-sale-in-el-mourouj-3-3-lovely-rooms-
"(None,)","(None,)",Ariana Ville,Les Jardins d'El Menzah 2 inAriana Ville,"Very nice property for sale. Price 1,800,000 TND. 14 living areas, 9 private bathrooms, 700 m². 9 rooms. Less than 20 years. The exterior consists of a garden and a terrace.This house is for sale in Les Jardins d'El Menzah 2. Built-in oven. Integrated air conditioners.Contact us if you are interested in this house. Central air conditioning. Fully equipped kitchen. Washing Machine.Close to all amenities: schools, shops, bookshop, pharmacy and restaurants in less than 50 meters, commercial area in 150 meters, station and transport in 350 meters, supermarket in 450 meters, taxi in 800 meters, hospitals in 1.2 kilometer.",14,1800000.0,Les Jardins d'El Menzah 2,9,700,house,https://www.mubawab.tn/en/a/7734034/very-nice-house-for-sale-in-les-jardins-d-el-menzah-2-14-comfortable-rooms-terrace-and-garden-
1,4,Ariana Ville,Cité Ennasr 2 inAriana Ville,"Amazing deal on this house for sale. Price 630,000 TND. 4 bedrooms, 1 bathroom, 250 m². 5 rooms. Less than 20 years. Floor type: Wooden. Green area, Balcony.This house is for sale in Cité Ennasr 2, Ariana Ville.Nearby: schools, shops, bookshop, pharmacy and cafes and restaurants in less than 50 meters, shopping centre in 150 meters, station and public transport in 350 meters, supermarket in 450 meters, taxi in 800 meters, hospitals in 1.2 kilometer.","(None,)",630000.0,Cité Ennasr 2,5,250,house,https://www.mubawab.tn/en/a/7734026/find-your-house-to-buy-in-cit%C3%A9-ennasr-2-5-comfortable-rooms-green-areas-balcony-
1,"(None,)",,Hammam Ghezèze,"Unique opportunity on this house for sale. Price 440,000 TND. 3 rooms, 1 bathroom, area 220 m². 5 rooms. New. Superb sea view.This house is for sale . Terrace.Nearby: shops in 450 meters, school and secondary school in 2.0 kilometer.","(None,)",440000.0,Hammam Ghezèze,"(5,)",220,house,https://www.mubawab.tn/en/a/7733842/home-to-buy-total-area-220-m%C2%B2-stunning-sea-view-
1,"(None,)",Fouchana,Cité Brim inFouchana,"Unique opportunity on this house for sale. Price 250,000 TND. 3 rooms, 1 bathroom, area 330 m². 5 rooms. Less than 10 years. Covering: Tiled. Green area.This house is for sale in Cité Brim, Fouchana.Nearby: school and secondary school and shops in less than 50 meters, pharmacy in 100 meters, supermarket in 250 meters, bookshop in 450 meters, department store in 2.4 kilometers.","(None,)",250000.0,Cité Brim,"(5,)",330,house,https://www.mubawab.tn/en/a/7718282/house-to-buy-in-cit%C3%A9-brim-3-lovely-rooms-garden-
1,3,Oued Ellil,Oued Ellil inOued Ellil,"Find out about this house for sale. Price 95,000 TND. 3 bedrooms, 1 bathroom, 150 m². 6 rooms. Good condition. Floor type: Tiled.This beautiful house is for sale in Oued Ellil, Oued Ellil.Nearby: schools and shops in 350 meters.","(None,)",95000.0,Oued Ellil,6,150,house,https://www.mubawab.tn/en/a/7727689/very-nice-house-for-sale-in-oued-ellil-3-lovely-rooms-
3,"(None,)",La Soukra,La Soukra inLa Soukra,"Come and visit this beautiful house for sale. Price 720,000 TND. 5 living areas, 3 bathrooms, area 242 m². 4 rooms. New. Green area, Car parking spaces, Large terrace.This house is for sale in La Soukra. Double glazed window, Central air conditioning. Built-in oven.Be the first to visit this house for sale. Guarded residence. Equipped kitchen. Integrated air conditioning.Nearby: educational establishments and shops in less than 50 meters, bookshop and bars and restaurants in 50 meters, pharmacy in 1.0 kilometer, supermarket in 2.2 kilometers, department store in 2.4 kilometers, taxi service in 2.9 kilometers.",5,720000.0,La Soukra,4,242,apartment,https://www.mubawab.tn/en/a/7718653/house-for-sale-in-la-soukra-4-rooms-parking-spaces-and-garden-
1,"(None,)",Sousse Ville,Sousse Ville inSousse Ville,"Very nice property for sale. Price 200,000 TND. 3 living areas, 1 bathroom, area 74 m². 3 rooms. Good condition. Equipped with a satellite dish.This beautiful house is for sale in Sousse Ville, Sousse Ville. Air conditioning system. Fully equipped kitchen.Nearby: shops and restaurants in less than 50 meters, bookshop in 50 meters, school and secondary school and pharmacy in 150 meters, supermarket in 250 meters, hospitals, station and transport in 450 meters, large area in 600 meters, beach in 850 meters.",3,200000.0,Sousse Ville,3,74,house,https://www.mubawab.tn/en/a/7713209/find-your-house-to-buy-in-sousse-ville-3-large-living-areas-fully-equipped-kitchen-
1,2,,Khezama Ouest,"Amazing deal on this house for sale. Price 1,400,000 TND. 3 living areas, 1 bathroom, area 470 m². 2 bedrooms. Good condition. Central air conditioning.This beautiful house is for sale . Balcony. Equipped kitchen.",3,1400000.0,Khezama Ouest,"(None,)",470,house,https://www.mubawab.tn/en/a/7656150/house-for-sale-2-beautiful-rooms-
"(None,)","(None,)",La Marsa,Ain Zaghouan Nord inLa Marsa,"Unique opportunity on this house for sale. Price 620,000 TND. 5 living areas, 2 private bathrooms, 190 m². 4 rooms. Good condition. Floor type: Marble. Private Garage.This beautiful house is for sale in Ain Zaghouan Nord, La Marsa.Close to all amenities: educational establishments in 50 meters, shops in 100 meters, bookshop in 300 meters, shopping centre in 400 meters, pharmacy in 450 meters, hospitals in 550 meters, bars and restaurants in 600 meters, station and public transport in 650 meters, supermarket in 950 meters, beach in 1.6 kilometer, taxi service in 2.4 kilometers.",5,620000.0,Ain Zaghouan Nord,4,190,house,https://www.mubawab.tn/en/a/7614059/find-your-house-to-buy-in-ain-zaghouan-nord-small-area-200-m%C2%B2-parking-spaces-and-garden-
